,="Base 2",="Base 3",="Base 4",="Base 5",="Base 6",="Base 7",="Base 8",="Base 9",="Base 10",="Base 11",="Base 12",="Base 13",="Base 14",="Base 15",="Base 16",="Base 17",="Base 18",="Base 19",="Base 20",="Base 21",="Base 22",="Base 23",="Base 24",="Base 25",="Base 26",="Base 27",="Base 28",="Base 29",="Base 30",="Base 31",="Base 32",="Base 33",="Base 34",="Base 35",="Base 36",="Base 37",="Base 38",="Base 39",="Base 40",="Base 41",="Base 42",="Base 43",="Base 44",="Base 45",="Base 46",="Base 47",="Base 48",="Base 49",="Base 50",="Base 51",="Base 52",="Base 53",="Base 54",="Base 55",="Base 56",="Base 57",="Base 58",="Base 59",="Base 60",="Base 61",="Base 62",="Base 63",="Base 64"
="2^46",="10000000000000000000000000000000000000000000000",="100020011012000202211212000221",="100000000000000000000000",="33210410142002141124",="405354542122552424",="20551655036312422",="2000000000000000",="306135022755027",="70368744177664",="20470242640599",="7A85B26068714",="3035989A421CA",="1353C188BC812",="8206BC3EECE4",="400000000000",="20F6A74A139D",="11CDA51GBFEG",="B916A3AB73H",="6H8FBCB2434",="44CA2ACIG0G",="2E673E69F4K",="1G1D850G1L4",="12F6G56A1IG",="IB459A296E",="COP6GPBGJA",="96450KMN0P",="6I76DB6N0G",="4OJAQO8O4D",="3H7HN2OAM4",="2KFLC9FAI2",="2000000000",="1H14DH0RHV",="15DPTUCULU",="V8OXRDI39",="OXYYDEZGG",="K19GBUXFP",="G711XYPKa",="D5UA1VXHA",="ATJYURV1O",="8XD61SYcN",="7B9b3I40G",="60bcJA3DG",="50HPcdVDK",="48EECIEYY",="3NLFBP0M4",="2ig8dDfi1",="2NfO7hCLG",="25alZRMIG",="1e3Tn3L3E",="1RL3MeHKD",="1GNDRUaZa",="16ljUhETT",="qU1cN5eq",="kC92l9Q9",="efb9PJgG",="ZuiOGYWt",="VoR6tRjg",="SGGERP6Q",="P8El32f4",="MNpPtZsd",="JysdLI92",="HsU1zMnG",="G0000000"
="2^47",="100000000000000000000000000000000000000000000000",="200110022101001112200201001212",="200000000000000000000000",="121421320334004332303",="1215153524245545252",="41433643105625144",="4000000000000000",="613271045621055",="140737488355328",="40930485181087",="1394BA50115228",="606B6467843C7",="26A7A3339B224",="1140D897EEAD8",="800000000000",="41DD3E932729",="23792A3F5DBE",="13I2D1723E7F",="DEHB3524868",="893K504GB1B",="56CE76CJ89I",="3933GA193J8",="256D8ACK3D8",="1BM8AIK4ID3",="PNOD7ON7CK",="IC8A1EIJ1N",="D8ECQMDI14",="9K9LOJHJ8Q",="74F5G5ILE8",="5A0BOIUL54",="4000000000",="3128R11M2T",="2ARHPQPR9Q",="1RHEWJR16I",="1DVXWQTYWW",="132IWNOTVD",="WE23TVD3Y",="QBLK3ORYK",="LIdTLFM38",="HPQC3GSa5",="EMJW6a80W",="C1WXcK6QW",="A0Z7XZIQe",="8GSSOaTON",="70gUN40i8",="5gbHVRaf2",="4lZ0FcOgW",="4BOkM5iaW",="3U79m6g6S",="33g6jTYeQ",="2WkR39LJK",="2Dgc8XT65",="1p63MkBRo",="1bOI5dIqI",="1PRIIodSW",="1EuVmXC8r",="15gsDqtXQ",="uWWSsoCq",="oGTY65M8",="ilfpoAmH",="dxlGgaI4",="Zjy3xjZW",="W0000000"
="2^48",="1000000000000000000000000000000000000000000000000",="1100220121202010002101102010201",="1000000000000000000000000",="243343141223014220111",="2434351452535534544",="113200616214553321",="10000000000000000",="1326552102342121",="281474976710656",="8176095A352163",="2769B8A022A454",="C109C902387C1",="4D71666758448",="2281C240EE6C1",="1000000000000",="83A97C164E51",="46F0527CB95A",="27H572E479FB",="179F26A48GCG",="GI7JA09C131",="AD36ED3GGJE",="6I679K2I7FG",="4AD2GL1G72G",="2NJGLCF9C16",="1PLN0FNKEPE",="19OGK32AB3J",="QH0PPGR828",="JBJEKA69HN",="E90B2B7CSG",="AK0NI6UBA8",="8000000000",="624HL23B5P",="4LL1HJHKJI",="3JYTU4J2D1",="2RRVTHNXTS",="2650SACMPQ",="1QS47LOQ7U",="1DN417AGU1",="12bdJ2V46G",="ZABO6XGVA",="T2dMDUG1M",="O3MOXeDAL",="K1QFNQb9a",="GXCC4SE41",="E1dF081gG",="BcRZG8QZ4",="9lM0VT1bG",="8N0hiBeOF",="7AEJkDYD6",="67XDe8IU1",="5Df26Igce",="4RWNHE5CA",="3mC6jcN1k",="3JmaBNbna",="2osabjN18",="2Tu6e9OHn",="2BRoRlr8q",="1s65vofPj",="1eWx8CAiG",="1SYMgdLZY",="1HvWXNAa8",="18Sv7uS81",="100000000"
="2^49",="10000000000000000000000000000000000000000000000000",="2201211020111020011202211021102",="2000000000000000000000000",="1042241333001033440222",="5313143345515513532",="226401535432436642",="20000000000000000",="2654214204684242",="562949953421312",="1534118096A4316",="5317B5804588A8",="1B216C504742B2",="9D02CCD0B2892",="45139481EDD92",="2000000000000",="G741F72C9BA2",="8DC0A4F750B2",="4FFAE598F0C3",="2EJA4D08HD5C",="1CFFHK0J3262",="L46D747BBH6",="DDCEJH5DF89",="8L259I38E58",="5ME8I05IO2C",="3PHK15LF3P2",="2JM6D64KM7B",="1P61NN5QG4G",="19NA0BKCJ6H",="SI0M4MEPR2",="L91G5DTMKG",="G000000000",="C492946MBH",="9983151752",="74YOP934Q2",="5JJRMZBVNK",="4CA1JKP8EF",="3FI8F5BEFM",="2R782EKXL2",="25Zcc5M8CW",="1TKN7DPXLK",="1G5b2RIW32",="15726ObQKg",="e38V39UJS",="XLOO9BS82",="S3WU0G3cW",="NU8NWH6N8",="Jki1FA3QW",="Gk1cdNVmU",="EKSdgRIQC",="CFFRTGb92",="ARU4CbXPS",="92BkYSAOK",="7gODbMk3c",="6dgHMlKiH",="5jrHJYk2G",="52tDNImZf",="4MtgtbmHk",="3nCBugNpV",="3L5wGOLSW",="2v7jOHhA7",="2Zr34kLAG",="2GvpFnuG2",="200000000"
="2^50",="100000000000000000000000000000000000000000000000000",="12110122110222110100112122112211",="10000000000000000000000000",="2140033221002122430444",="15030331135435431504",="456103404165206614",="40000000000000000",="5418428410478484",="1125899906842624",="2A6823518298631",="A633AB408B5594",="39430BA0918594",="15C05BBC185344",="8A273913ECC34",="4000000000000",="1FE83DE582634",="H96129CEA144",="9CC29AIHB156",="59J0960HF6B4",="34AAEJ1H64C4",="1K8D4E8F11CC",="14426GBB47GI",="HI4AJC6H4AG",="BK3HB0BCN4O",="7P9E2BH47O4",="5CHCQC9EHEM",="3MC3JIBP494",="2JHK0NBP9D5",="1R61E9ETLO4",="1BI31ARSEA1",="10000000000",="O8I4I8DBN1",="IIG62A2EA4",="E9YEFI69H4",="B33J9YNRB4",="8OK324DGSU",="6UaGUAMSV6",="5FEG4T2S34",="4BVbaB4GPO",="3I05ERAQ1e",="2WBW5CbM64",="2AE4D6W9ff",="1a6HI6JGdC",="1Lh43INBG4",="1A7JE0W7VI",="10DH0HYCkG",="dje2UK75G",="Xh3STlEmB",="Sf7TZ4b2O",="OUV47XNI4",="L388PNEp4",="I4NeG3Kme",="FUmRKjc7M",="DOTYjdfXY",="BZoYdDa4W",="A5rQkbeEP",="8jrRrHcZY",="7dONsPli3",="6gBuWmgv4",="5rFTmZPKE",="59i69UgKW",="4XqdVanW4",="400000000"
="2^51",="1000000000000000000000000000000000000000000000000000",="101221021221221220201002022002122",="20000000000000000000000000",="4330121442004300411443",="34101102315315303412",="1245210111363416531",="100000000000000000",="11837857821068078",="2251799813685248",="5A2546A35586162",="190679A815AAB68",="75861A71533B58",="2BA0B99A32A688",="1254E7327EA968",="8000000000000",="3EBG7ABAG4C68",="1H0C2517B2288",="1065502IG32AC",="AJI0IC1FAD28",="69008H3DC938",="3IH496H82332",="2884D9MM8FAD",="1BC8LF0DA8L8",="NF79M0N0L9N",="FOJ24N88FM8",="AP7PPOJ282H",="7GO7B8NM8I8",="5A6B1HNLIQA",="3OC2SITTDI8",="2N562LOPSK2",="20000000000",="1FH393GQND2",="132WC4K4SK8",="SJXSV1CIY8",="M672JXBIM8",="HC3648QXKN",="DNYXML7JOC",="AUSW9J5H68",="8NNZWM8XB8",="6a0ATDLB3d",="5MNMAPX2C8",="4KS8QDLJed",="3SCYaCcXYO",="2hf86b1MW8",="2KEcS1IFGa",="20QY0ZLPjW",="1VhW5CeEAW",="1Ib78AjTlM",="17WF9K9O4m",="nAB8FFka8",="g6GGokTo8",="a8lRW6fiR",="V7h0fbMEi",="Qn4EaOSCD",="NFjDMRG98",="KBnraINSo",="HXmtmZJDA",="FJmlnpaT6",="DONr5bPs8",="BjUxa9oeS",="AJQCIzMf2",="94gG0Aa18",="800000000"
="2^52",="10000000000000000000000000000000000000000000000000000",="210212120220220211102011121012021",="100000000000000000000000000",="14210243434014101323441",="112202205035035011224",="2523420223060136362",="200000000000000000",="23776826742147167",="4503599627370496",="1094A92970061314",="361137942B99B14",="11B3C3812A679B3",="59619556656D32",="24A9DE650E63D1",="10000000000000",="7C6FF464F97CG",="3G164A2F444GG",="20CAA05ID6525",="11JG1H43B164G",="CI00HD763I6G",="7FC8IDCG4664",="4GG93JMLH7L3",="2N0HJ612KHIG",="1M5EJJ1L1HJL",="15NC49KGH5IG",="LNFOOMB4G57",="F5KEMHJGH8G",="AKCM36IE8NK",="7IO5R7TSR6G",="5FAC5CIKQ94",="40000000000",="2V16I70KDQ4",="265UO969N6G",="1M4WMR2P2XG",="18CE53UN18G",="YO6C8HGU49",="R9VT74F1AO",="LMIPIcAYCG",="H77VP4HQMG",="DV0LHR1M7b",="B352L9O4OG",="8fDH9QgdcZ",="7CPPSPXNP4",="5gbGDT30JG",="4eTVA2aUXQ",="416L1Nh4iH",="3FdGAPWSLG",="2bPEGLgAji",="2FEUIeIm9k",="1lKMGUVgLG",="1WCWXnf7mG",="1JHg2BDUa1",="18FW1TKiTY",="rh8THn1OQ",="kVYQisWIG",="eNgoFal0h",="Z9drdCcQK",="UdcaeiDwC",="QmlkBEpmG",="NU0wBJeJu",="KcqObyjK4",="I9LW0L92G",="G00000000"
="2^53",="100000000000000000000000000000000000000000000000000000",="1121202011211211122211100012101112",="200000000000000000000000000",="33421042423033203202432",="224404414114114022452",="5350140446150306054",="400000000000000000",="47664754584305345",="9007199254740992",="2179A75830112628",="702273685B77A28",="2397B7325802696",="B4C34AACCADC64",="4964CDCA1DC7B2",="20000000000000",="F7DED8C9E1F8F",="7E2C925C889FE",="416210BI7CA4A",="23JC3E8722C9C",="14F01E5EC7FDB",="F92HF53A8CC8",="9A9I7GMKBFJ6",="5M1BEC25HBD8",="3JB4ED3H3AEH",="2BKO8JF78BB6",="1GK4MMHM95AE",="12BD1H7B56H4",="LBPF6D7SHIB",="F7IBOFTROD2",="AUKOAP6ALI8",="80000000000",="5T2D3E17RJ8",="4CBREICJCCW",="399UAJ5F5VW",="2GOSA7PA2GW",="1WBCOGYXN8I",="1GJPKE8U2LA",="145bBbbLTOW",="YEFNA8ZD4W",="RL11ZD33FX",="M6A50J696W",="HdQYJAgaYR",="EP77D7N368",="BeTWRD60cW",="9ZDGK5RFL6",="82Cg30d9fY",="6VUWL3H8gW",="5Q1SWhZLgd",="4UTAbUbkJg",="3heiXACXgW",="3CPDFlUFiW",="2cZV4MR8J2",="2GVA34fZ5E",="1qVH3Zh2mq",="1b7CrXr8aW",="1NlShVGb1T",="1CJLnKPIqe",="12KIEMTRvO",="rbZWMThaW",="ky1tMdJdp",="fFgnDxSe8",="aIh10gI4W",="W00000000"
="2^54",="1000000000000000000000000000000000000000000000000000000",="10020111100200200022122200101210001",="1000000000000000000000000000",="122342140401121411410414",="453213232232232045344",="14030311225330615141",="1000000000000000000",="106440620278611701",="18014398509481984",="4348A40560225155",="120452714BB33854",="4762A164B30505C",="189A6977BB7DAC8",="93C9ACA53CA074",="40000000000000",="1DFACA082B3E0D",="FA5704B6GH1DA",="82C4214HF6191",="47J478GE454J4",="299037B83FA61",="18I5D8A6KH32G",="IKJDFAMI08FC",="BK2N504BAN2G",="7DM941796L49",="4NFMHD4EGMMC",="36D9II8HIAL1",="24MQ36EMAD68",="1DNM1CQFS67M",="10F6NJ1TPIQ4",="LUAHLJCLC5G",="G0000000000",="BP4Q6S2FM5G",="8ONKT2P4OPU",="6IJPL3AUBST",="4XDKKFEK4XS",="3RMPBXWU9Ga",="2X1D2SHM54K",="28BZNaa4KAP",="1SSV6KHUQ9O",="1E123TQ66VP",="12CKA0cCIDM",="ZaAPcLgUQB",="T6EEQF26CG",="NaEK9QC1WJ",="JOQWeB8UgC",="G4Pb61VJaL",="DFDGg6YHbG",="B338GcLhaT",="9B8LPBPgdY",="7aUcFKPGYD",="6OoQVh8VbC",="5OI98j1Gc4",="4X8K69TGAS",="3o7Y7GV5gn",="3IEPpBoHH8",="2lc0U5XH31",="2OcheeoblM",="24eaSiwttm",="1lFB4ixRD4",="1Wx3njHdIf",="1KVNaRuvIG",="19bN21La91",="1000000000"
="2^55",="10000000000000000000000000000000000000000000000000000000",="20110222201101100122022100210120002",="2000000000000000000000000000",="300234331302243323321333",="1350430504504504135132",="31060622453661533312",="2000000000000000000",="213881340568323502",="36028797018963968",="869698101044A2AA",="2408A5229BA674A8",="91C572C9960A0BB",="3356D511991D7B2",="137A46A5A7A50E8",="80000000000000",="3AE4830G557B19",="1D2AE094DFG392",="G558429GBC2I2",="8FI8EHD88A9I8",="4II06F1G79KC2",="2HEB4GKDJC65A",="1EIG47LMD0H81",="NG5MA08MLM58",="F2JI82EIDH8I",="9L5J90937JIO",="6CQJA9H89LF2",="49HO6D1GKQCG",="2RIF2PO2RCFF",="210DH83TL7M8",="1CTL4C7PBOB1",="100000000000",="NH9JDN4VBAW",="HFD7O5G9FHQ",="D24G76LPNMN",="9UR54UT49VK",="7I8DNUSNIXZ",="5S2Q5IZ6A92",="4GNW8YX91LB",="3HHMD0ZLCJ8",="2S247IBCDM9",="24OeK1YOaR2",="1STL8Y0gI9M",="1ECST8U4COW",="12RSeJ7O3Jc",="d37JYMHFcO",="W94RC3FdPg",="QUQXaDKZQW",="M66GXRhcO9",="IMGh0N1ZTI",="FMAPUeoXHQ",="Cnn1BYHBMO",="AmaIHb2XN8",="9CGeCJ4WL2",="7jFDEX7BUh",="6aSpkNiYYG",="5cJ13B9Y62",="4nJTNNhHai",="49MDvUwqqb",="3YUM9TwsQ8",="34v7cTZHbL",="2f0lAtpqaW",="2JBk42h9I2",="2000000000"
