,="Base 2",="Base 3",="Base 4",="Base 5",="Base 6",="Base 7",="Base 8",="Base 9",="Base 10",="Base 11",="Base 12",="Base 13",="Base 14",="Base 15",="Base 16",="Base 17",="Base 18",="Base 19",="Base 20",="Base 21",="Base 22",="Base 23",="Base 24",="Base 25",="Base 26",="Base 27",="Base 28",="Base 29",="Base 30",="Base 31",="Base 32",="Base 33",="Base 34",="Base 35",="Base 36",="Base 37",="Base 38",="Base 39",="Base 40",="Base 41",="Base 42",="Base 43",="Base 44",="Base 45",="Base 46",="Base 47",="Base 48",="Base 49",="Base 50",="Base 51",="Base 52",="Base 53",="Base 54",="Base 55",="Base 56",="Base 57",="Base 58",="Base 59",="Base 60",="Base 61",="Base 62",="Base 63",="Base 64"
="2^10",="10000000000",="1101221",="100000",="13044",="4424",="2662",="2000",="1357",="1024",="851",="714",="60A",="532",="484",="400",="394",="32G",="2FH",="2B4",="26G",="22C",="1LC",="1IG",="1FO",="1DA",="1AP",="18G",="169",="144",="121",="100",="V1",="U4",="T9",="SG",="RP",="Qa",="QA",="PO",="Oe",="OG",="NZ",="NC",="MY",="MC",="Lb",="LG",="Ki",="KO",="K4",="Ja",="JH",="Iq",="IY",="IG",="Ht",="Hc",="HL",="H4",="Gm",="GW",="GG",="G0"
="2^11",="100000000000",="2210212",="200000",="31143",="13252",="5654",="4000",="2725",="2048",="15A2",="1228",="C17",="A64",="918",="800",="718",="65E",="5CF",="528",="4DB",="452",="3K1",="3D8",="36N",="30K",="2LN",="2H4",="2CI",="288",="242",="200",="1T2",="1Q8",="1NI",="1KW",="1ID",="1FY",="1DK",="1B8",="18d",="16W",="14R",="12O",="10N",="iO",="hR",="gW",="fd",="em",="e8",="dK",="cY",="bo",="bD",="aW",="Zr",="ZI",="Yg",="Y8",="XZ",="X2",="WW",="W0"
="2^12",="1000000000000",="12121201",="1000000",="112341",="30544",="14641",="10000",="5551",="4096",="3094",="2454",="1B31",="16C8",="1331",="1000",="E2G",="CBA",="B6B",="A4G",="961",="8A4",="7H2",="72G",="6DL",="61E",="5GJ",="568",="4P7",="4GG",="484",="400",="3P4",="3IG",="3C1",="35S",="2aQ",="2VU",="2R1",="2MG",="2Hb",="2DM",="29B",="254",="211",="1h2",="1e7",="1bG",="1YT",="1Vk",="1TG",="1Qe",="1OF",="1Lk",="1JQ",="1H8",="1En",="1Ca",="1AP",="18G",="169",="144",="121",="100"
="2^13",="10000000000000",="102020102",="2000000",="230232",="101532",="32612",="20000",="12212",="8192",="6178",="48A8",="3962",="2DB2",="2662",="2000",="1B5F",="1752",="13D3",="109C",="IC2",="GK8",="FB4",="E58",="D2H",="C32",="B6B",="ACG",="9LE",="932",="8G8",="800",="7H8",="72W",="6O2",="6BK",="5aF",="5PM",="5F2",="54W",="4ZX",="4R2",="4IM",="4A8",="422",="3e4",="3XE",="3QW",="3K9",="3Dg",="37W",="31S",="2mU",="2hc",="2cq",="2YG",="2Tf",="2PE",="2Ko",="2GW",="2CI",="288",="242",="200"
="2^14",="100000000000000",="211110211",="10000000",="1011014",="203504",="65524",="40000",="24424",="16384",="11345",="9594",="75C4",="5D84",="4CC4",="4000",="35BD",="2EA4",="2776",="20J4",="1G34",="1BIG",="17M8",="14AG",="1159",="O64",="MCM",="KP4",="JDS",="I64",="H1G",="G00",="F1G",="E5U",="DD4",="CN4",="BZU",="BD6",="AU4",="A9O",="9UP",="9C4",="8b1",="8KG",="844",="7Y8",="7JS",="75G",="6eI",="6RY",="6FD",="634",="5i7",="5XM",="5Mn",="5CW",="52P",="4oS",="4ff",="4X4",="4Oa",="4GG",="484",="400"
="2^15",="1000000000000000",="1122221122",="20000000",="2022033",="411412",="164351",="100000",="48848",="32768",="2268A",="16B68",="11BB8",="BD28",="9A98",="8000",="6B69",="5B28",="4EEC",="41I8",="3B68",="31FA",="2FLG",="28L8",="22AI",="1MC8",="1HPH",="1DM8",="19RR",="16C8",="1331",="1000",="U2W",="SBQ",="QQ8",="PA8",="NYN",="MQC",="LL8",="KJ8",="JK9",="IO8",="HV2",="GeW",="G88",="FMG",="Ed9",="EAW",="DVa",="D5I",="CUQ",="C68",="BZE",="BCi",="Ajh",="AP8",="A4o",="9gu",="9ON",="968",="8nB",="8WW",="8G8",="800"
="2^16",="10000000000000000",="10022220021",="100000000",="4044121",="1223224",="362032",="200000",="108807",="65536",="45269",="31B14",="23AA3",="19C52",="14641",="10000",="D5D1",="B44G",="9AA5",="83GG",="71CG",="638K",="58K9",="4HIG",="44LB",="3IOG",="38O7",="2RGG",="2JQP",="2COG",="2662",="2000",="1R5V",="1MNI",="1IHG",="1EKG",="1AW9",="17EO",="143G",="10cG",="ceI",="b6G",="ZJ4",="XbK",="WGG",="UiW",="TVI",="SLG",="REN",="QAa",="PA1",="OCG",="NHS",="MPY",="LaV",="KoG",="K9h",="JRs",="Imk",="ICG",="HbM",="H32",="GWG",="G00"
="2^17",="100000000000000000",="20122210112",="200000000",="13143242",="2450452",="1054064",="400000",="218715",="131072",="8A527",="63A28",="47876",="35AA4",="28C82",="20000",="19B92",="1489E",="1021A",="G7DC",="E34B",="C6HI",="AHHI",="9BD8",="89HM",="7BN6",="6HLE",="5R54",="5AOL",="4PJ2",="4CC4",="4000",="3LBT",="3BD2",="31YW",="2T4W",="2LRI",="2ETA",="286W",="21aW",="1ada",="1WCW",="1Rc8",="1NUe",="1JWW",="1FhI",="1CFa",="18gW",="15Sk",="12LM",="oK2",="mOW",="kZ3",="ipE",="hI7",="fiW",="eJT",="cto",="bcX",="aOW",="ZDi",="Y64",="X1W",="W00"
="2^18",="1000000000000000000",="111022121001",="1000000000",="31342034",="5341344",="2141161",="1000000",="438531",="262144",="169A53",="107854",="9241C",="6B768",="52A14",="40000",="32614",="28H1A",="20431",="1CF74",="17691",="12DDE",="LCCD",="IN2G",="GJAJ",="ENKC",="D8G1",="BQA8",="ALKD",="9L84",="8OO8",="8000",="79NP",="6MQ4",="63YT",="5M9S",="56Ha",="4TKK",="4GDP",="43XO",="3WcV",="3MPM",="3CXG",="33Ha",="2dKJ",="2Vea",="2OVP",="2HbG",="2B8h",="24gi",="1ne4",="1inC",="1eH6",="1ZmS",="1VaE",="1RX8",="1Nd1",="1Jrg",="1GI7",="1Cn4",="19RR",="16C8",="1331",="1000"
="2^19",="10000000000000000000",="222122012002",="2000000000",="113234123",="15123132",="4312352",="2000000",="878162",="524288",="3289A6",="2134A8",="15483B",="D90D2",="A5528",="80000",="64C28",="4HG32",="40862",="35AE8",="2ECI2",="25556",="1K223",="1DM58",="18DLD",="13LEO",="QH52",="NOKG",="LEBQ",="JCG8",="HIHG",="G000",="EJEH",="DBI8",="C7YN",="B8JK",="ACZZ",="9L32",="8WRB",="87R8",="7OaL",="7392",="6PNW",="66ZS",="5Xec",="5HZQ",="52G3",="4ZQW",="4MHb",="49Zc",="3mT8",="3bkO",="3RYC",="3Hh2",="38HS",="2tAG",="2lL2",="2dnQ",="2WaE",="2Pc8",="2Iss",="2COG",="2662",="2000"
