,="1/2",="1/3",="1/4",="1/5",="1/6",="1/7",="1/8",="1/9",="1/10",="1/11",="1/12",="1/13",="1/14",="1/15",="1/16",="1/17",="1/18",="1/19",="1/20",="1/21",="1/22",="1/23",="1/24",="1/25",="1/26",="1/27",="1/28",="1/29",="1/30",="1/31",="1/32",="1/33",="1/34",="1/35",="1/36",="1/37",="1/38",="1/39",="1/40",="1/41",="1/42",="1/43",="1/44",="1/45",="1/46",="1/47",="1/48",="1/49",="1/50",="1/51",="1/52",="1/53",="1/54",="1/55",="1/56",="1/57",="1/58",="1/59",="1/60",="1/61",="1/62",="1/63",="1/64"
="Base 30",="0.F",="0.A",="0.7F",="0.6",="0.5",="0.48H48H48H4",="0.3MF",="0.3A",="0.3",="0.2LOGAR85DJ",="0.2F",="0.296RKN296R",="0.248H48H48H",="0.2",="0.1Q7F",="0.1MS71MS71M",="0.1K",="0.1HB1HB1HB1",="0.1F",="0.1CPLCPLCPL",="0.1AR85DJ2LO",="0.193RBM56FJ",="0.17F",="0.16",="0.14IDPBG4ID",="0.13A",="0.1248H48H48",="0.1111111111",="0.1",="0.0T0T0T0T0T",="0.0S3MF",="0.0R85DJ2LOG",="0.0QE3FQE3FQ",="0.0PLCPLCPLC",="0.0P",="0.0O9LQML2CT",="0.0NKFNKFNKF",="0.0N296RKN29",="0.0MF",="0.0LSG2RO4BL",="0.0LCPLCPLCP",="0.0KRR68B4QF",="0.0KDJ2LOGAR",="0.0K",="0.0JGSKQ2I7O",="0.0J4E188S2G",="0.0IMF",="0.0IB0IB0IB",="0.0I",="0.0HJCAHJCAH",="0.0H96RKN296",="0.0GTD0GTD0G",="0.0GK",="0.0GAR85DJ2L",="0.0G248H48H4",="0.0FNKFNKFNK",="0.0FFFFFFFFF",="0.0F7IOC631F",="0.0F",="0.0EMIKJK4RG",="0.0EFEFEFEFE",="0.0E8H48H48H",="0.0E1Q7F"
="Base 31",="0.FFFFFFFFFF",="0.AAAAAAAAAA",="0.7N7N7N7N7N",="0.6666666666",="0.5555555555",="0.4D8QHM4D8Q",="0.3R3R3R3R3R",="0.3DO3DO3DO3",="0.3333333333",="0.2PB8E2PB8E",="0.2I2I2I2I2I",="0.2BSJ2BSJ2B",="0.26JSOB26JS",="0.2222222222",="0.1T1T1T1T1T",="0.1PGCNLRAT5",="0.1MC1MC1MC1",="0.1JHTBD1JHT",="0.1H1H1H1H1H",="0.1ENJ5S1ENJ",="0.1CL471CL47",="0.1AO82LHG5C",="0.1919191919",="0.17DJQ17DJQ",="0.15TP15TP15",="0.14IBESLP81",="0.139TRL139T",="0.1248H36CPK",="0.1111111111",="0.1",="0.0U0U0U0U0U",="0.0T3NF0T3NF",="0.0S86BQDKU2",="0.0RE59N0RE5",="0.0QLGB60QLG",="0.0PU50PU50P",="0.0P8U5M0P8U",="0.0OJR0OJR0O",="0.0O0O0O0O0O",="0.0NDIRU7HC3",="0.0MR9IE0MR9",="0.0MAP76F4A2",="0.0LQ23G6AHJ",="0.0LB0LB0LB",="0.0KRJGQ8NI6",="0.0KDQBR19RL",="0.0K0K0K0K0K",="0.0JIUBC0JIU",="0.0J6PD0J6PD",="0.0IQ47RTO9M",="0.0IES0IES0I",="0.0I42SKEJ9B",="0.0HOL7EAS4",="0.0HEK90HEK9",="0.0H4UDQ0H4U",="0.0GQK3P0GQK",="0.0GHJO1ILSA",="0.0G8SRQ8CIS",="0.0G0G0G0G0G",="0.0FNBLAKPSE",="0.0FFFFFFFFF",="0.0F7R1U0F7R",="0.0F0F0F0F0F"
="Base 32",="0.G",="0.ALALALALAL",="0.8",="0.6CPJ6CPJ6C",="0.5ALALALALA",="0.4I94I94I94",="0.4",="0.3HOSE73HOS",="0.36CPJ6CPJ6",="0.2T2T2T2T2T",="0.2LALALALAL",="0.2EOJM4TH7C",="0.294I94I94I",="0.248H248H24",="0.2",="0.1S7GU3OF1S",="0.1OSE73HOSE",="0.1LSK6NIGQU",="0.1J6CPJ6CPJ",="0.1GOC631GOC",="0.1EHEHEHEHE",="0.1CGM8B45I2",="0.1ALALALALA",="0.18UN18UN18",="0.17C9R2EOJM",="0.15TK4NMGIU",="0.14I94I94I9",="0.139TPC4D7N",="0.1248H248H2",="0.1111111111",="0.1",="0.0V0V0V0V0V",="0.0U3OF1S7GU",="0.0T87A1QGEK",="0.0SE73HOSE7",="0.0RLJSH9GDQ",="0.0QUA3BP8DF",="0.0Q86I1KGD4",="0.0PJ6CPJ6CP",="0.0OV70OV70O",="0.0OC631GOC6",="0.0NQ1FK2V85",="0.0N8N8N8N8N",="0.0MO5M1DGBC",="0.0M8B45I2P1",="0.0LP642N4OG",="0.0LALALALAL",="0.0KSNGAEBO5",="0.0KFBGKFBGK",="0.0K2GA1850K",="0.0JM4TH7C9R",="0.0JA8EFMARO",="0.0IUQ2BR89F",="0.0IJP0IJP0I",="0.0I94I94I94",="0.0HUS27RG8V",="0.0HKUSM26JR",="0.0HBCF5UT97",="0.0H248H248H",="0.0GP5OKVF6Q",="0.0GGGGGGGGG",="0.0G84210G84",="0.0G"
="Base 33",="0.GGGGGGGGGG",="0.B",="0.8888888888",="0.6JQD6JQD6J",="0.5GGGGGGGGG",="0.4NIS9E4NIS",="0.4444444444",="0.3M",="0.39TN39TN39",="0.3",="0.2OOOOOOOOO",="0.2HPCMRUF7K",="0.2BPUL72BPU",="0.26JQD6JQD6",="0.2222222222",="0.1V1V1V1V1V",="0.1RGGGGGGGG",="0.1OADTHC56V",="0.1LES1LES1L",="0.1IS9E4NIS9",="0.1GGGGGGGGG",="0.1EBFPR8K2S",="0.1CCCCCCCCC",="0.1AIFRNP2L3",="0.18T6BDVO3Q",="0.17B",="0.15TFAK15TF",="0.14I6RA7VSE",="0.139TN39TN3",="0.1248H1248H",="0.1111111111",="0.1",="0.0W0W0W0W0W",="0.0V3PF2RBAC",="0.0U88888888",="0.0TE8UAN68",="0.0SLNEP62JW",="0.0RUF7KA52H",="0.0R7E0R7E0R",="0.0QIGTPOVCS",="0.0PUL72BPUL",="0.0PAOIDQSD1",="0.0OOOOOOOOO",="0.0O6JQD6JQD",="0.0NM7TDKQHU",="0.0N5KBUTG4U",="0.0MMMMMMMMM",="0.0M7DFG5CQ8",="0.0LPODSCHR1",="0.0LBLBLBLBL",="0.0KV35NFSID",="0.0KI1SL5JUG",="0.0K5GGGGGGG",="0.0JQD6JQD6J",="0.0JEO5A0JEO",="0.0J3FKRQ1OA",="0.0IPJU53WE7",="0.0IF3BOK4FL",="0.0I4VBI4VBI",="0.0HS4AR1KIC",="0.0HIKP0HIKP",="0.0H9E4NIS9E",="0.0H0H0H0H0H"
="Base 34",="0.H",="0.BBBBBBBBBB",="0.8H",="0.6R6R6R6R6R",="0.5MMMMMMMMM",="0.4T4T4T4T4T",="0.48H",="0.3QF3QF3QF3",="0.3DKDKDKDKD",="0.3333333333",="0.2SBBBBBBBB",="0.2KVD2KVD2K",="0.2EJEJEJEJE",="0.2929292929",="0.248H",="0.2",="0.1U7IU7IU7I",="0.1QSLG3JN8W",="0.1NR6R6R6R6",="0.1L1L1L1L1L",="0.1IIIIIIIII",="0.1G8TJ7DABS",="0.1E5MMMMMMM",="0.1C85EWLPSJ",="0.1AFNIAFNIA",="0.18RNVGCK51",="0.179O9O9O9O",="0.15TAIPQWS4",="0.14I4I4I4I4",="0.139TKSHILV",="0.1248H",="0.1111111111",="0.1",="0.0X0X0X0X0X",="0.0W3QF3QF3Q",="0.0V896ENUB",="0.0UEAP1QSLG",="0.0TLR0TLR0T",="0.0SUKDKDKDK",="0.0S6LJ2GJUN",="0.0RHRHRHRHR",="0.0QU1JQ35I6",="0.0Q99999999",="0.0PNEC30PNE",="0.0P4EQKNM5V",="0.0OK8N525QQ",="0.0O2SBBBBBB",="0.0NK45IOXAD",="0.0N42OGATV9",="0.0MMMMMMMMM",="0.0M7SQ57SQ5",="0.0LRJU54GN3",="0.0LDSWP6A2H",="0.0L0L0L0L0L",="0.0KLT4T4T4T",="0.0K9IGNT7PM",="0.0JVM9CUGE2",="0.0JK5PVNLAW",="0.0J92929292",="0.0IWB50IWB5",="0.0ILVRE8QAW",="0.0IBTN70IBT",="0.0I248H"
="Base 35",="0.HHHHHHHHHH",="0.BNBNBNBNBN",="0.8Q8Q8Q8Q8Q",="0.7",="0.5T5T5T5T5T",="0.5",="0.4D4D4D4D4D",="0.3V3V3V3V3V",="0.3HHHHHHHHH",="0.36CPFVSM9J",="0.2W2W2W2W2W",="0.2O82O82O82",="0.2HHHHHHHHH",="0.2BNBNBNBNB",="0.26JO26JO26",="0.2222222222",="0.1X1X1X1X1X",="0.1TGK97CVB1",="0.1Q8Q8Q8Q8Q",="0.1NBNBNBNBN",="0.1KNU7XEB4R",="0.1I94JRDOC6",="0.1G1G1G1G1G",="0.1E",="0.1C41C41C41",="0.1ACXOM1ACX",="0.18Q8Q8Q8Q8",="0.178FO4SXRQ",="0.15T5T5T5T5",="0.14I2914I29",="0.139TIKRC13",="0.1248GXWUQI",="0.1111111111",="0.1",="0.0Y0Y0Y0Y0Y",="0.0X3RF4PIW5",="0.0W8A4L6FN",="0.0VECJQ0VEC",="0.0ULULULULU",="0.0TUPLBXA8I",="0.0T5T5T5T5T",="0.0SH38XD0SH",="0.0RTF3Y75JV",="0.0R7R7R7R7R",="0.0QM29V6TNK",="0.0Q286OK3PB",="0.0PI80PI80P",="0.0OYY0000YY",="0.0OHHHHHHHH",="0.0O0O0O0O0O",="0.0NJI620NJI",="0.0N3XNR2MFT",="0.0MNYCB0MNY",="0.0M9J36CPFV",="0.0LULULULUL",="0.0LH6QE4AFC",="0.0L47TJVYDU",="0.0KQOB9H745",="0.0KEKEKEKEK",="0.0K2UEC1P8L",="0.0JQIM0JQIM",="0.0JFJFJFJFJ",="0.0J4W9ADNI1"
="Base 36",="0.I",="0.C",="0.9",="0.7777777777",="0.6",="0.5555555555",="0.4I",="0.4",="0.3LLLLLLLLL",="0.39TGD39TGD",="0.3",="0.2ROX8B2ROX",="0.2KKKKKKKKK",="0.2EEEEEEEEE",="0.29",="0.248GXVRJ24",="0.2",="0.1W7KUBD9H1",="0.1SSSSSSSSS",="0.1PPPPPPPPP",="0.1MWQ6JMWQ6",="0.1KCIS69E34",="0.1I",="0.1FU8N1FU8N",="0.1DUGM5JDUG",="0.1C",="0.1AAAAAAAAA",="0.18OTSJV18O",="0.1777777777",="0.15T15T15T1",="0.14I",="0.139TGD39TG",="0.1248GXVRJ2",="0.1111111111",="0.1",="0.0Z0Z0Z0Z0Z",="0.0Y3SF5OMQI",="0.0X8B2ROX8B",="0.0WEEEEEEEE",="0.0VLY8S3IFS",="0.0UUUUUUUUU",="0.0U50U50U5",="0.0TGD39TGD3",="0.0SSSSSSSSS",="0.0S69E34P1K",="0.0RKOIDSC96",="0.0R",="0.0QG5VLB0QG",="0.0PX4BIPX4B",="0.0PETNAL6CP",="0.0OX8B2ROX8",="0.0OGAV8TVXA",="0.0O",="0.0NKAH0NKAH",="0.0N55555555",="0.0MQIY3SF5O",="0.0MCEW9XIMC",="0.0LYS2FV49R",="0.0LLLLLLLLL",="0.0L8UOSBSX1",="0.0KWIKWIKWI",="0.0KKKKKKKKK",="0.0K9"
="Base 37",="0.IIIIIIIIII",="0.CCCCCCCCCC",="0.9999999999",="0.7ETM7ETM7E",="0.6666666666",="0.5AL5AL5AL5",="0.4N4N4N4N4N",="0.4444444444",="0.3PXB3PXB3P",="0.3DGUA3DGUA",="0.3333333333",="0.2VBE8JY5PM",="0.2NT2NT2NT2",="0.2H9W2H9W2H",="0.2BKU2BKU2B",="0.26JLSAWNYU",="0.2222222222",="0.1Z1Z1Z1Z1Z",="0.1VGO1VGO1V",="0.1S71S71S71",="0.1P8F51P8F5",="0.1MJB9O4UKX",="0.1K1K1K1K1K",="0.1HS4GADBV2",="0.1FO749ZLCT",="0.1DQ1DQ1DQ1",="0.1BX1BX1BX1",="0.1A7O8YGLPJ",="0.18NG18NG18",="0.175ZTV175Z",="0.15SXJOAF15",="0.14HYS14HYS",="0.139TE5GBZX",="0.1248GXUOBN",="0.1111111111",="0.1",="0.0a0a0a0a0a",="0.0Z3TF6NQKW",="0.0Y8C0Y8C0Y",="0.0XEG90XEG9",="0.0WM0WM0WM",="0.0VUa560VUa",="0.0V47L0V47L",="0.0UFN0UFN0U",="0.0TS5NC2FAG",="0.0T4QSCM1L9",="0.0SJA0SJA0S",="0.0RYR6TGMO6",="0.0RE2856OFJ",="0.0QV79FZKBM",="0.0QC3KNHT6E",="0.0PUQJK92TB",="0.0PD0PD0PD",="0.0OWZO82PKV",="0.0OGJ5Z0OGJ",="0.0O0O0O0O0O",="0.0NMC4H8AV9",="0.0N7JGBAOGY",="0.0MU80MU80M",="0.0MGDZ6OW5G",="0.0M2aEY0M2a",="0.0LR0LR0LR",="0.0LEGSC57J2"
="Base 38",="0.J",="0.CPCPCPCPCP",="0.9J",="0.7MUF7MUF7M",="0.6CPCPCPCPC",="0.5GAWLR5GAW",="0.4SJ",="0.48GXTL48GX",="0.3UF7MUF7MU",="0.3HADV3HADV",="0.36CPCPCPCP",="0.2Z2Z2Z2Z2Z",="0.2R5GAWLR5G",="0.2KA52KA52K",="0.2E9J",="0.28ZT28ZT28",="0.248GXTL48G",="0.2",="0.1Y7MUF7MUF",="0.1USa791USa",="0.1RO6YKRO6Y",="0.1OTS3BLI6N",="0.1M6CPCPCPC",="0.1JSXGRDPVY",="0.1HKHKHKHKH",="0.1FIB9WE2Ua",="0.1DLR5GAWLR",="0.1BU596KaQ7",="0.1A52KA52KA",="0.18M2H64YC9",="0.174SJ",="0.15STZQIG4N",="0.14HXK4HXK4",="0.139TBZVIHE",="0.1248GXTL48",="0.1111111111",="0.1",="0.0b0b0b0b0b",="0.0a3UF7MUF7",="0.0Z8Cb2TP0Z",="0.0YEI3NJYEI",="0.0XM3KCE5BI",="0.0WV3HADV3H",="0.0W3EDJG1Q6",="0.0VEX1OTS3B",="0.0URIMO9QPX",="0.0U36CPCPCP",="0.0THVU9BO1K",="0.0SXGRDPVYa",="0.0SBZ0SBZ0S",="0.0RT8T8T8T8",="0.0R9C76H7XQ",="0.0QS5NZ71FI",="0.0Q9PLFXWHa",="0.0PTWLR5GAW",="0.0PCPCPCPCP",="0.0OY2NMAID3",="0.0OI1Aa2LY5",="0.0O2KA52KA5",="0.0NPKL6WEa4",="0.0NB18M2H64",="0.0MYbF30MYb",="0.0MLE9J"
="Base 39",="0.JJJJJJJJJJ",="0.D",="0.9T9T9T9T9T",="0.7V7V7V7V7V",="0.6JJJJJJJJJ",="0.5MB5MB5MB5",="0.4Y4Y4Y4Y4Y",="0.4D",="0.3Z3Z3Z3Z3Z",="0.3LAOVZHSE7",="0.39T9T9T9T9",="0.3",="0.2UP2UP2UP2",="0.2NFNFNFNFN",="0.2H2H2H2H2H",="0.2BIDTW4MaR",="0.26JJJJJJJJ",="0.2222222222",="0.1b1b1b1b1b",="0.1XGRXGRXGR",="0.1U5CFb8XQN",="0.1R53FA6UKD",="0.1OEOEOEOEO",="0.1LWTObH69E",="0.1JJJJJJJJJ",="0.1HD",="0.1FCKYW1FCK",="0.1DHIWATMXO",="0.1BRBRBRBRB",="0.1A2K51A2K5",="0.18KS18KS18",="0.173LAOVZHS",="0.15SQEZLUbX",="0.14HWCA14HW",="0.139T9T9T9T",="0.1248GXSHZW",="0.1111111111",="0.1",="0.0c0c0c0c0c",="0.0b3VF8LY9J",="0.0a8Da8Da8D",="0.0ZEJb79c3O",="0.0YM67c4GWV",="0.0XV7V7V7V7",="0.0X2L7OMYTQ",="0.0WE45VKT1P",="0.0VQVQVQVQV",="0.0V1N376ECS",="0.0UGEVc8MO7",="0.0TW4MaRKP9",="0.0T9T9T9T9T",="0.0SR8WERbKN",="0.0S6JJJJJJJ",="0.0RPKLcBDIH",="0.0R6AHG0R6A",="0.0QQQQQQQQQ",="0.0Q8SZOYBGV",="0.0PUFXRTT3B",="0.0PDPDPDPDP",="0.0OaHA8b37Q",="0.0OKTM0OKTM",="0.0O5MB5MB5M",="0.0NTXK4AE0N"
="Base 40",="0.K",="0.DDDDDDDDD",="0.A",="0.8",="0.6QQQQQQQQ",="0.5SMYBH5SM",="0.5",="0.4HV4HV4HV",="0.4",="0.3PI7AaELW",="0.3DDDDDDDD",="0.333333333",="0.2YBH5SMYB",="0.2QQQQQQQQ",="0.2K",="0.2E4S9GIWb",="0.28ZM8ZM8Z",="0.248GXRETI",="0.2",="0.1a7OUJ1a7",="0.1WT3PI7Aa",="0.1TMODaKYV",="0.1QQQQQQQQ",="0.1O",="0.1LLLLLLLL",="0.1JAEWNS5b",="0.1H5SMYBH5",="0.1F6ZYJCGM",="0.1DDDDDDDD",="0.1BOKPWACa",="0.1A",="0.18JFUC4Xb",="0.172E4S9GI",="0.15SMYBH5S",="0.14HV4HV4H",="0.139T7MS4C",="0.1248GXRET",="0.111111111",="0.1",="0.0d0d0d0d",="0.0c3WF9Kc3",="0.0b8EZDc5N",="0.0aELWT3PI",="0.0ZM8ZM8ZM",="0.0YVC6cAHF",="0.0Y1S3G6WD",="0.0XDDDDDDD",="0.0WQ4ZaTFK",="0.0W",="0.0VEa35JOC",="0.0UUUUUUUU",="0.0U7LZIYSR",="0.0TP7GBY2c",="0.0T3PI7AaE",="0.0SMYBH5SM",="0.0S2WB94aJ",="0.0RNHb9Q8B",="0.0R4TX8WLR",="0.0QQQQQQQQ",="0.0Q978KdDU",="0.0PWACa56I",="0.0PFYaX0PF",="0.0P"
="Base 41",="0.KKKKKKKKK",="0.DRDRDRDRD",="0.AAAAAAAAA",="0.888888888",="0.6Y6Y6Y6Y6",="0.5Z5Z5Z5Z5",="0.555555555",="0.4MVaI94MV",="0.444444444",="0.3TXMEbB7I",="0.3H3H3H3H3",="0.36CP9IbYS",="0.2c2c2c2c2",="0.2U2U2U2U2",="0.2N2N2N2N2",="0.2Ga79QLSc",="0.2BFcTP2BF",="0.26JHAWF4C",="0.222222222",="0.1d1d1d1d1",="0.1ZGVRd5O9",="0.1W3N75EAS",="0.1T1T1T1T1",="0.1Q9YI1Q9Y",="0.1NQX4TdHE",="0.1LAPXGSYb",="0.1J1J1J1J1",="0.1GdO1GdO1",="0.1F1F1F1F1",="0.1D9ANX2QI",="0.1BLW1BLW1",="0.19cL4dV2J",="0.18I3PDAYd",="0.171717171",="0.15SJEX15S",="0.14HTbRSX9",="0.139T5G7MQ",="0.1248GXQBN",="0.111111111",="0.1",="0.0e0e0e0e",="0.0d3XFAK0d",="0.0c8FYJNC4",="0.0bENSA0bE",="0.0aMBO2RPY",="0.0ZVGNMRbK",="0.0Z0Z0Z0Z",="0.0YCMOAZe6",="0.0XPH90XPH",="0.0WdG38YNC",="0.0WDGMZJT7",="0.0VTGA2D67",="0.0V5Cb8EHI",="0.0UN4JFQYB",="0.0U0U0U0U",="0.0TK5Uc51H",="0.0SeC0SeC",="0.0SK6AHFBX",="0.0S0S0S0S",="0.0RMYceDI6",="0.0R4PWGLXT",="0.0QReED0QR",="0.0QAaL5VG"
="Base 42",="0.L",="0.E",="0.AL",="0.8GXP8GXP8",="0.7",="0.6",="0.5AL",="0.4S",="0.48GXP8GXP",="0.3YFBJ3YFB",="0.3L",="0.39T39T39T",="0.3",="0.2XP8GXP8G",="0.2QAL",="0.2JW4dM9b2",="0.2E",="0.28ZFJbODB",="0.248GXP8GX",="0.2",="0.1c7QUMc7Q",="0.1YT95K3RG",="0.1VL",="0.1SNLZBVcQ",="0.1PZMPZMPZ",="0.1NE",="0.1L",="0.1IYVa8SeN",="0.1GXP8GXP8",="0.1EbdC85HP",="0.1D5AL",="0.1BJ3YFBJ3",="0.19b2JW4dM",="0.18GXP8GXP",="0.17",="0.15SFbJCKI",="0.14HSUdX6Q",="0.139T39T39",="0.1248GXP8G",="0.111111111",="0.1",="0.0f0f0f0f",="0.0e3YFBJ3Y",="0.0d8GXP8GX",="0.0cEPNV1YT",="0.0bMECLIW7",="0.0aVL",="0.0aff0f0ff",="0.0ZBVcQaeD",="0.0YOTR7HCE",="0.0XcWCcWCc",="0.0XBbACSM7",="0.0WS",="0.0W32C96aR",="0.0VL",="0.0UdX6QM4H",="0.0UHFd4EKB",="0.0TbUPQE9e",="0.0TGXP8GXP",="0.0ScNH8ddA",="0.0SIeR42TX",="0.0S",="0.0RNQAL"
="Base 43",="0.LLLLLLLLL",="0.EEEEEEEEE",="0.AWAWAWAWA",="0.8PYH8PYH8",="0.777777777",="0.666666666",="0.5G5G5G5G5",="0.4XJ4XJ4XJ",="0.4CcU4CcU4",="0.3d3d3d3d3",="0.3P3P3P3P3",="0.3D9dTX3D9",="0.333333333",="0.2bBK2bBK2",="0.2TO82TO82",="0.2MWbeKA52",="0.2GV2GV2GV",="0.2BDOcKFa9",="0.26JF26JF2",="0.222222222",="0.1f1f1f1f1",="0.1bGZMITdB",="0.1Y1Y1Y1Y1",="0.1UfC1UfC1",="0.1S4fEc1S4",="0.1PKUB6FdZ",="0.1N1N1N1N1",="0.1KWQTS7HY",="0.1IRA1IRA1",="0.1GRVca2XC",="0.1EXPMaC41",="0.1D1D1D1D1",="0.1BGIfVQO1",="0.19ZR19ZR1",="0.18FMTb18F",="0.16fa16fa1",="0.15SCJA7dQ",="0.14HROB14H",="0.139T139T1",="0.1248GXO5A",="0.111111111",="0.1",="0.0g0g0g0g",="0.0f3ZFCI6T",="0.0e8HWUaJR",="0.0dERJ96HG",="0.0cMH0cMH",="0.0bVPJD70b",="0.0ag60ag6",="0.0aAfDL3G",="0.0ZNg7J0ZN",="0.0Yc5T8dWJ",="0.0YAF5OTJd",="0.0XQP0XQP",="0.0X0X0X0X",="0.0WIafL5C3",="0.0VbYaE3UH",="0.0VEOXMPLb",="0.0UZ50UZ5",="0.0UDGdKJ1H",="0.0TZFedMc6",="0.0TF0TF0TF",="0.0ScCWdRNM"
="Base 44",="0.M",="0.ETETETETE",="0.B",="0.8Z8Z8Z8Z8",="0.7ETETETET",="0.6CP6CP6CP",="0.5M",="0.4d4d4d4d4",="0.4HQHQHQHQ",="0.4",="0.3TETETETE",="0.3GeR3GeR3",="0.36CP6CP6C",="0.2f2f2f2f2",="0.2X",="0.2PcaAFNCf",="0.2JOJOJOJO",="0.2DdG9BPKb",="0.28Z8Z8Z8Z",="0.248GXN248",="0.2",="0.1e7SUQYJ5",="0.1aTETETET",="0.1XJFagAOS",="0.1UKDNUKDN",="0.1RUgGD1RU",="0.1P6CP6CP6",="0.1MXGUF7PY",="0.1KNKNKNKN",="0.1IJcE8MV9",="0.1GM",="0.1ETETETET",="0.1CfI57XSK",="0.1BDaK51BD",="0.19Y9Y9Y9Y",="0.18EBdAUeJ",="0.16fU4RYWI",="0.15S915S91",="0.14HQHQHQH",="0.139SgeYF1",="0.1248GXN24",="0.111111111",="0.1",="0.0h0h0h0h",="0.0g3aFDH9O",="0.0f8IVaMKQ",="0.0eETETETE",="0.0dMJX9cQf",="0.0cVTeL5CE",="0.0bgC3Jb4D",="0.0bA6XbA6X",="0.0aNAYc8DC",="0.0ZbL86MZb",="0.0Z8Z8Z8Z8",="0.0YP6CP6CP",="0.0XgK33baC",="0.0XGUF7PYd",="0.0WZZ2AJH6",="0.0WBWBWBWB",="0.0VWK8SbMF",="0.0V9f74BFQ",="0.0UW5Pb0UW",="0.0UB"
="Base 45",="0.MMMMMMMMM",="0.F",="0.BBBBBBBBB",="0.9",="0.7MMMMMMMM",="0.6JCcPW6JC",="0.5S5S5S5S5",="0.5",="0.4MMMMMMMM",="0.444444444",="0.3XXXXXXXX",="0.3KYRV6fOA",="0.39SfZG39S",="0.3",="0.2aPE2aPE2",="0.2T5DAQL7g",="0.2MMMMMMMM",="0.2GQ2GQ2GQ",="0.2BBBBBBBB",="0.26JCcPW6J",="0.222222222",="0.1h1h1h1h1",="0.1dGdGdGdG",="0.1a",="0.1WdaFPhC5",="0.1U",="0.1REKe81RE",="0.1ObAcZV1O",="0.1MMMMMMMM",="0.1KENA7BRQ",="0.1ICTNeZ71",="0.1GGGGGGGG",="0.1EP6RZX3h",="0.1CcPW6JCc",="0.1BBBBBBBB",="0.19WbVRhZC",="0.18D18D18D",="0.16fOAHDc3",="0.15S5S5S5S",="0.14HPAheRJ",="0.139SfZG39",="0.1248GXLhg",="0.111111111",="0.1",="0.0i0i0i0i",="0.0h3bFEGCK",="0.0g8JUg8JU",="0.0fEVA4QSL",="0.0eMMMMMMM",="0.0dVYINb2T",="0.0cgI7ZLSP",="0.0c9FCX54B",="0.0bMMMMMMM",="0.0aaaaaaaa",="0.0a7AK40a7",="0.0ZNUZNUZN",="0.0Yf5JHc0Y",="0.0YEM5FBJb",="0.0XXXXXXXX",="0.0X8cGAEXg",="0.0WTY53SDZ",="0.0W6JCcPW6",="0.0VSbBge3N"
="Base 46",="0.N",="0.FFFFFFFFF",="0.BN",="0.999999999",="0.7UUUUUUUU",="0.6QD6QD6QD",="0.5YN",="0.555555555",="0.4RRRRRRRR",="0.48GXKfbTC",="0.3cFFFFFFF",="0.3OZHVcgLA",="0.3D6QD6QD6",="0.333333333",="0.2eBN",="0.2WLTZ85Ih",="0.2PPPPPPPP",="0.2JGhQT2JG",="0.2Daaaaaaa",="0.28Z28Z28Z",="0.248GXKfbT",="0.2",="0.1g7UUUUUU",="0.1cTKB1cTK",="0.1ZHVcgLAS",="0.1WH1WH1WH",="0.1TQD6QD6Q",="0.1QiJ1QiJ1",="0.1OOOOOOOO",="0.1MBe2iNY5",="0.1K5YN",="0.1I5QMDh9Y",="0.1GAbeR2WL",="0.1EL1EL1EL",="0.1CZZZZZZZ",="0.1B8WEgCJf",="0.19VLaEO9V",="0.18BaPhTMI",="0.16fIIIIII",="0.15S2BA4MK",="0.14HO4HO4H",="0.139SeThdQ",="0.1248GXKfb",="0.111111111",="0.1",="0.0j0j0j0j",="0.0i3cFFFFF",="0.0h8KU1eGf",="0.0gEX5NgEX",="0.0fMPBXH6E",="0.0eVcgLASE",="0.0dgODeaKc",="0.0d8Nd8Nd8",="0.0cLYDHPgU",="0.0ba6QD6QD",="0.0b5TdP0b5",="0.0aM9NaM9N",="0.0ZdZ3fEbJ",="0.0ZCCCCCCC",="0.0YVUgAPTI",="0.0Y5h1MBe2",="0.0XR0XR0XR",="0.0X2eBN"
